,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
129,0.0,-1,0,0,-1,1,2,1.0,0
130,0.0,1,1,0,0,4,0,1.0,0
131,0.0,0,1,0,0,0,2,1.0,1
132,2.0,0,-1,0,1,3,2,1.0,0
133,1.0,0,1,0,0,2,1,1.0,0
134,0.0,0,1,0,0,3,1,1.0,1
135,1.0,0,1,0,0,2,2,1.0,1
136,1.0,0,0,0,0,3,0,1.0,0
137,1.0,0,1,0,0,2,1,1.0,0
138,1.0,0,1,0,0,4,2,1.0,0
139,0.0,0,1,0,0,2,0,1.0,1
140,2.0,0,-1,0,0,4,2,1.0,2
141,0.0,0,1,0,0,3,1,1.0,1
142,8.0,2,-1,0,-1,4,1,0,0
143,0.0,0,0,0,0,2,2,1.0,1
144,0.0,0,1,1,0,5,2,1.0,0
145,1.0,0,1,0,0,1,1,1.0,0
146,3.0,0,1,0,0,1,2,1.0,0
147,1.0,0,0,0,0,2,2,1.0,0
148,0.0,0,1,0,0,3,2,1.0,1
149,8.0,2,0,0,0,0,0,1.0,3
150,1.0,0,1,0,0,2,2,1.0,0
151,1.0,1,1,0,0,2,2,1.0,0
152,1.0,0,1,0,0,0,2,1.0,0
153,1.0,0,0,0,0,2,1,1.0,0
154,0.0,0,1,0,0,3,2,1.0,1
155,0.0,0,0,0,0,3,0,1.0,1
156,2.0,0,1,0,0,2,1,2.0,0
157,1.0,0,1,0,0,4,2,1.0,0
158,2.0,0,1,0,0,1,2,1.0,0
159,1.0,0,1,0,0,0,2,1.0,0
160,1.0,1,0,0,-1,4,-1,1.0,0
161,3.0,0,1,0,0,0,2,4.0,0
162,1.0,0,1,0,0,4,1,1.0,0
163,0.0,0,1,0,0,0,2,1.0,1
164,1.0,0,1,1,0,1,2,1.0,0
165,1.0,0,0,0,0,4,0,1.0,0
166,1.0,0,0,0,0,3,0,1.0,0
167,1.0,0,1,0,0,0,2,2.0,0
168,0.0,1,1,0,0,4,3,1.0,1
169,0.0,1,1,0,0,3,2,1.0,1
170,1.0,0,1,0,0,0,2,1.0,0
171,0.0,2,1,0,0,3,0,1.0,2
172,1.0,0,0,0,0,4,2,1.0,0
173,10.0,0,1,0,0,1,2,1.0,0
174,1.0,0,1,0,0,0,2,1.0,0
175,0.0,0,0,0,0,2,2,1.0,1
176,0.0,1,1,0,0,3,2,1.0,1
177,2.0,0,1,0,0,4,2,1.0,0
178,1.0,0,1,0,0,0,2,1.0,0
179,1.0,0,1,1,0,4,2,1.0,1
180,1.0,0,1,0,0,0,2,1.0,0
181,1.0,0,0,0,-1,4,1,1.0,0
182,1.0,1,1,0,0,4,2,1.0,0
183,1.0,0,1,0,0,2,1,1.0,0
184,0.0,0,1,0,0,3,2,1.0,0
185,0.0,0,1,0,0,1,2,1.0,1
186,1.0,0,1,0,0,1,2,1.0,0
187,1.0,0,1,0,0,1,2,1.0,0
188,0.0,0,1,0,0,5,2,1.0,1
189,1.0,0,1,0,0,3,1,1.0,0
190,1.0,1,-1,0,0,1,2,1.0,0
191,1.0,1,1,0,0,4,1,1.0,0
192,1.0,0,1,0,0,1,1,1.0,0
193,3.0,0,1,0,0,1,0,1.0,0
194,2.0,0,1,0,0,4,2,1.0,0
195,0.0,0,1,-1,-1,6,2,0,1
196,1.0,0,1,0,0,1,2,1.0,0
197,0.0,0,1,0,0,2,2,1.0,1
198,1.0,0,1,0,0,2,2,1.0,0
199,0.0,0,0,0,0,2,2,1.0,1
200,0.0,0,1,0,0,4,2,1.0,1
201,1.0,1,0,0,0,0,2,1.0,0
202,1.0,0,1,0,0,1,2,2.0,1
203,0.0,0,1,1,-1,0,2,1.0,1
204,1.0,0,1,1,0,2,2,1.0,0
205,2.0,0,1,0,0,4,2,1.0,1
206,0.0,0,1,0,0,2,2,1.0,1
207,1.0,0,0,0,0,3,2,1.0,0
208,0.0,0,0,0,0,3,2,1.0,1
209,1.0,0,1,0,0,4,2,1.0,0
210,2.0,1,-1,0,-1,3,1,1.0,0
211,0.0,2,0,0,0,4,3,1.0,0
212,1.0,0,1,1,0,2,1,1.0,0
213,1.0,0,1,0,0,0,2,1.0,0
214,2.0,0,0,0,0,0,2,1.0,0
215,0.0,2,1,1,0,4,2,1.0,2
216,0.0,0,1,1,0,0,2,1.0,1
217,1.0,0,1,0,0,0,2,1.0,0
218,0.0,2,1,1,0,1,2,1.0,2
219,1.0,0,1,1,0,3,1,1.0,2
220,1.0,0,0,0,0,4,1,1.0,0
221,0.0,0,1,0,-1,6,2,1.0,1
222,1.0,1,1,1,0,0,2,1.0,0
223,1.0,0,0,0,0,1,2,1.0,0
224,1.0,1,-1,0,-1,2,2,1.0,0
225,0.0,1,1,0,0,3,3,1.0,0
226,1.0,0,0,0,0,3,2,1.0,0
227,0.0,1,0,0,0,0,2,1.0,1
228,2.0,0,1,1,1,0,2,1.0,1
229,1.0,0,1,0,0,2,2,1.0,0
230,1.0,0,1,0,0,0,2,1.0,0
231,0.0,0,0,1,0,3,2,1.0,1
232,0.0,0,1,0,0,0,2,1.0,1
233,5.0,2,1,0,0,0,2,2.0,0
234,1.0,0,0,0,0,2,2,1.0,0
235,0.0,0,1,0,0,1,1,1.0,1
236,3.0,0,1,0,0,4,2,1.0,0
237,1.0,1,0,0,0,4,2,0,0
238,0.0,0,1,0,0,5,2,1.0,1
239,0.0,0,1,0,0,1,2,1.0,1
240,1.0,0,1,0,0,3,0,1.0,1
241,0.0,0,1,0,0,4,1,1.0,1
242,1.0,0,1,0,0,4,2,1.0,0
243,1.0,1,1,0,1,4,2,1.0,0
244,1.0,0,1,0,0,3,2,1.0,0
245,1.0,0,1,0,0,0,2,1.0,0
246,1.0,0,1,0,0,1,2,1.0,0
