gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
4105,Auburn Elementary School,,,0,public,K-5,K-5,488,4,4,Auburn Union Elementary School District,493,603480,60348004813,"11400 Lariat Ranch Road, 
Auburn, CA  95603",Auburn,4105,2.05,2.46,18.24,6.76,1.43,0,69.06,189,22.4,336,55.12,10,0,0.8
4106,Ev Cain 21st Century Stem Charter School,,,0,charter,6-8,8-Jun,664,3,5,Auburn Union Elementary School District,493,603480,60348000265,"150 Palm Avenue, 
Auburn, CA  95603",Auburn,4106,1.81,1.36,23.8,3.16,1.51,0.15,68.22,189,22.4,336,45.93,10.8,9.2,2.2
4107,Rock Creek Elementary School,,,0,public,K-5,K-5,299,4,2,Auburn Union Elementary School District,493,603480,60348000267,"3050 Bell Road, 
Auburn, CA  95603",Auburn,4107,3.01,0.67,74.92,1.67,0.67,0.33,18.73,189,22.4,336,89.97,9.6,10.9,0
4108,Skyridge Elementary School,,,0,public,K-5,K-5,475,4,4,Auburn Union Elementary School District,493,603480,60348009709,"800 Perkins Way, 
Auburn, CA  95603",Auburn,4108,3.37,1.26,18.95,3.16,0.63,0,72.63,189,22.4,336,42.74,7.4,0,0.7
4109,Colfax Elementary School,,,0,public,K-8,K-8,327,4,4,Colfax Elementary School District,495,609300,60930000940,"24825 Ben Taylor Road, 
Colfax, CA  95713",Colfax,4109,0.61,0.31,7.34,9.79,0.31,0,81.65,189,22.4,336,45.87,11.5,2.4,0.6
4111,Antelope Crossing Middle School,,,0,public,6-8,8-Jun,1000,4,6,Dry Creek Joint Elementary School District,496,611490,61149003494,"9200 Palmerson Drive, 
Antelope, CA  95843",Antelope,4111,14.3,6.7,16.6,10.2,0.8,0.4,51,189,22.4,336,53.5,8.5,2.7,1.4
4112,Antelope Meadows Elementary School,,,0,public,K-5,K-5,863,5,6,Dry Creek Joint Elementary School District,496,611490,61149010268,"8343 Palmerson Drive, 
Antelope, CA  95843",Antelope,4112,9.62,5.33,22.6,9.27,0.58,0.46,52.14,189,22.4,336,48.55,6.8,0,0.3
4114,Heritage Oak Elementary School,,,0,public,K-5,K-5,517,4,9,Dry Creek Joint Elementary School District,496,611490,61149009791,"2271 Americana Drive, 
Roseville, CA  95747",Roseville,4114,4.64,2.71,17.41,9.09,1.35,0,64.8,189,22.4,336,23.21,23.1,0,0.7
4115,Olive Grove Elementary School,,,0,public,K-5,K-5,515,4,7,Dry Creek Joint Elementary School District,496,611490,61149007599,"7926 Firestone Way, 
Antelope, CA  95843",Antelope,4115,15.73,3.88,11.46,7.96,0.97,0.39,59.61,189,22.4,336,41.75,12,0,0.4
4116,Quail Glen Elementary School,,,0,public,K-5,K-5,554,4,7,Dry Creek Joint Elementary School District,496,611490,61149003503,"1250 Canevari Drive, 
Roseville, CA  95747",Roseville,4116,5.96,1.81,18.59,5.6,0.9,0,67.15,189,22.4,336,16.06,11.4,0,0.3
4118,Willma Cavitt Junior High School,,,0,public,6-8,8-Jul,369,4,10,Eureka Union School District,498,613080,61308007707,"7200 Fuller Drive, 
Granite Bay, CA  95746",Granite Bay,4118,7.86,1.9,7.86,2.98,0.27,0,79.13,189,22.4,336,5.96,8.4,0,1
4121,Greenhills Elementary School,,,0,public,K-5,PK-3,398,5,9,Eureka Union School District,498,613080,61308001489,"8200 Greenhills Way, 
Granite Bay, CA  95746",Granite Bay,4121,6.03,1.01,10.05,11.81,0.5,0.5,70.1,189,22.4,336,15.33,9.9,0,0.9
4122,Maidu Elementary School,,,0,public,K-5,PK-3,468,4,7,Eureka Union School District,498,613080,61308007204,"1950 Johnson Ranch Drive, 
Roseville, CA  95661",Roseville,4122,11.11,1.92,13.03,11.11,0.43,0,62.39,189,22.4,336,15.17,8.3,0,1.1
4123,Oakhills Elementary School,,,0,public,K-5,PK-3,462,5,10,Eureka Union School District,498,613080,61308009810,"9233 Twin School Road, 
Granite Bay, CA  95746",Granite Bay,4123,10.61,2.6,7.58,11.47,0.87,0.22,66.67,189,22.4,336,6.71,10,4.5,0
4124,Olympus Junior High School,,,0,public,6-8,8-Jul,492,4,9,Eureka Union School District,498,613080,61308006167,"2625 La Croix Drive, 
Roseville, CA  95661",Roseville,4124,11.59,0.2,10.77,6.1,0.41,0.2,70.73,189,22.4,336,13.41,5.2,5,1.3
4125,Ridgeview Elementary School,,,0,public,K-5,6-Apr,571,4,8,Eureka Union School District,498,613080,61308003506,"9177 Twin School Road, 
Granite Bay, CA  95746",Granite Bay,4125,10.33,1.05,7.71,8.06,0.88,0,71.98,189,22.4,336,5.08,9.3,0,1.2
4127,Foresthill Divide,,,0,public,K-8,K-8,399,4,5,Foresthill Union Elementary School District,499,613980,61398001605,"22888 Foresthill Road, 
Foresthill, CA  95631",Foresthill,4127,1,1,11.53,3.51,3.26,1,78.7,189,22.4,336,40.1,10.4,0,0
4128,Franklin Elementary School,,,0,public,K-8,K-8,482,3,8,Loomis Union Elementary School District,500,622560,62256002771,"7050 Franklin School Road, 
Loomis, CA  95650",Loomis,4128,2.07,0.41,7.26,5.6,0.62,0,84.02,189,22.4,336,10.58,5.4,12.5,0.4
4129,Loomis Elementary School,,,0,public,K-8,K-8,483,4,8,Loomis Union Elementary School District,500,622560,62256002772,"3505 Taylor Road, 
Loomis, CA  95650",Loomis,4129,2.48,0.83,11.8,1.45,1.24,0.62,81.57,189,22.4,336,28.99,4.8,0,0.8
4130,Placer Elementary School,,,0,public,K-8,K-8,488,4,8,Loomis Union Elementary School District,500,622560,62256002773,"8650 Horseshoe Bar Road, 
Loomis, CA  95650",Loomis,4130,1.84,0,5.74,0.61,2.46,0,89.34,189,22.4,336,13.52,12.8,0,0.9
4131,Newcastle Elementary School,,,0,public,K-8,K-8,141,4,7,Newcastle Elementary School District,501,627120,62712004093,"8951 Valley View Drive, 
Newcastle, CA  95658",Newcastle,4131,0.71,0,13.48,7.8,1.42,0,76.6,189,22.4,336,36.88,15.2,0,2.3
4135,Sierra Hills Elementary School,,,0,public,K-5,K-3,343,5,7,Placer Hills Union Elementary School District,504,630720,63072004909,"16505 Placer Hills Road, 
Meadow Vista, CA  95722",Meadow Vista,4135,0.29,0.58,6.12,5.25,0.58,0,87.17,189,22.4,336,36.44,8.9,5.2,0.6
4136,Weimar Hills,,,0,public,K-8,8-Apr,157,4,7,Placer Hills Union Elementary School District,504,630720,63072004779,"200 West Weimar Crossroad, 
Weimar, CA  95736",Weimar,4136,1.27,0,7.01,3.82,1.91,0,85.99,189,22.4,336,30.57,6.7,0,1
4137,Chana High (Continuation) School,,,0,public,9-12,12-Oct,100,5,5,Placer Union High School District,505,630750,63075004780,"332 Finley Street, 
Auburn, CA  95603",Auburn,4137,1,1,15,3,9,0,71,0,0.9,336,80,20.3,8.6,1.1
4138,Colfax High School,,,0,public,9-12,12-Sep,606,4,9,Placer Union High School District,505,630750,63075004781,"24995 Ben Taylor Road, 
Colfax, CA  95713",Colfax,4138,0.5,0.17,7.59,3.96,1.32,0,86.47,23,16.4,74,31.52,8.7,6.3,4.4
4139,Del Oro High School,,,0,public,9-12,12-Sep,1715,5,9,Placer Union High School District,505,630750,63075004782,"3301 Taylor Road, 
Loomis, CA  95650",Loomis,4139,1.28,0.41,11.14,8.92,0.87,0.23,77.14,318,32.2,568,13.18,7.3,7.6,3
4140,Placer High School,,,0,public,9-12,12-Sep,1381,4,8,Placer Union High School District,505,630750,63075004784,"275 Orange Street, 
Auburn, CA  95603",Auburn,4140,1.74,1.16,18.03,5.72,1.01,0,72.34,183,15.9,200,28.53,9.4,14,2.5
4141,Vencil Brown Elementary School,,,0,public,K-5,K-5,379,4,7,Roseville City Elementary School District,506,633600,63360004953,"250 Trestle Road, 
Roseville, CA  95678",Roseville,4141,12.93,2.9,16.36,5.01,0.79,0,62.01,183,15.9,200,19.79,10.6,0,0
4142,George A. Buljan Middle School,,,0,public,6-8,8-Jun,1113,4,5,Roseville City Elementary School District,506,633600,63360003508,"100 Hallissy Drive, 
Roseville, CA  95678",Roseville,4142,8.98,2.96,23.18,3.5,0.54,0.72,60.11,183,15.9,200,32.52,7.3,0,0
4143,George Cirby Elementary School,,,0,public,K-5,K-5,388,4,3,Roseville City Elementary School District,506,633600,63360005183,"814 Darling Way, 
Roseville, CA  95678",Roseville,4143,0.52,0.26,60.82,7.47,0.26,1.03,29.64,183,15.9,200,73.2,7.6,0,0
4144,Crestmont Elementary School,,,0,public,K-5,K-5,488,5,7,Roseville City Elementary School District,506,633600,63360005184,"1501 Sheridan Avenue, 
Roseville, CA  95661",Roseville,4144,3.07,0.82,29.51,3.89,0.82,0.82,61.07,183,15.9,200,44.88,10.7,0,0
4145,Warren T. Eich Middle School,,,0,public,6-8,8-Jun,797,4,7,Roseville City Elementary School District,506,633600,63360005185,"1509 Sierra Gardens Drive, 
Roseville, CA  95661",Roseville,4145,7.65,1.38,22.08,5.9,0.63,0.75,61.61,183,15.9,200,31.24,8.3,0,0
4146,William Kaseberg Elementary School,,,0,public,K-5,K-5,317,4,6,Roseville City Elementary School District,506,633600,63360005186,"1040 Main Street, 
Roseville, CA  95678",Roseville,4146,5.68,0.95,41.64,8.2,0.63,0,42.9,183,15.9,200,59.62,13.4,0,0
4147,George Sargeant Elementary School,,,0,public,K-5,K-5,450,4,5,Roseville City Elementary School District,506,633600,63360008955,"1200 Ridgecrest Way, 
Roseville, CA  95661",Roseville,4147,2.22,1.56,34.44,5.11,1.56,0.22,54.89,183,15.9,200,42.89,9.1,0,0
4149,Ferris Spanger Elementary School,,,0,public,K-5,K-5,433,4,5,Roseville City Elementary School District,506,633600,63360010034,"699 Shasta Street, 
Roseville, CA  95678",Roseville,4149,3.46,0.92,26.33,4.16,0.23,0.69,64.2,183,15.9,200,36.26,14,0,0
4150,Bradford Woodbridge Fundamental Elementary School,,,0,public,K-5,K-5,346,5,4,Roseville City Elementary School District,506,633600,63360005188,"515 Niles Avenue, 
Roseville, CA  95678",Roseville,4150,3.76,1.73,58.67,5.49,1.16,0.58,28.61,183,15.9,200,71.97,17.5,0,0
4151,Adelante High (Continuation) School,,,0,public,9-12,12-Sep,102,4,6,Roseville Joint Union High School District,507,633630,63363005189,"350 Atlantic Street, 
Roseville, CA  95678",Roseville,4151,0.98,2.94,47.06,6.86,2.94,0.98,38.24,0,15.9,200,66.67,8.2,0,3
4152,Granite Bay High School,,,0,public,9-12,12-Sep,2043,4,10,Roseville Joint Union High School District,507,633630,63363006168,"1 Grizzly Way, 
Granite Bay, CA  95746",Granite Bay,4152,13.36,1.42,10.67,6.61,0.24,0.29,67.4,620,51.2,1396,7.98,4.1,3,2
4153,Oakmont High School,,,0,public,9-12,12-Sep,1882,4,8,Roseville Joint Union High School District,507,633630,63363005190,"1710 Cirby Way, 
Roseville, CA  95661",Roseville,4153,13.5,3.24,18.97,4.57,0.64,0.43,58.66,275,20.7,204,23.75,6.8,2.5,1
4154,Roseville High School,,,0,public,9-12,12-Sep,1961,4,7,Roseville Joint Union High School District,507,633630,63363005191,"1 Tiger Way, 
Roseville, CA  95678",Roseville,4154,9.59,3.67,23.81,2.35,0.41,0.97,59.2,304,27.3,386,32.23,7.3,4.1,1.1
4156,Woodcreek High School,,,0,public,9-12,12-Sep,2221,4,9,Roseville Joint Union High School District,507,633630,63363003513,"2551 Woodcreek Oaks Boulevard, 
Roseville, CA  95747",Roseville,4156,8.73,2.7,16.52,7.34,0.36,0.14,64.21,386,27.8,702,17.47,6.9,4.1,2
4157,Antelope Creek Elementary School,,,0,public,K-5,K-6,524,4,8,Rocklin Unified School District,508,600013,60001300805,"6185 Springview Drive, 
Rocklin, CA  95677",Rocklin,4157,4.77,3.82,16.22,14.5,1.34,0.57,58.78,386,27.8,702,41.22,16,0,0
4158,Breen Elementary School,,,0,public,K-5,K-6,550,5,7,Rocklin Unified School District,508,600013,60001303571,"2751 Breen Drive, 
Rocklin, CA  95765",Rocklin,4158,5.64,0.73,11.64,5.45,0.36,0.36,75.82,386,27.8,702,13.45,15.5,8.3,1.1
4159,Cobblestone Elementary School,,,0,public,K-5,K-6,417,4,7,Rocklin Unified School District,508,600013,60001310270,"5740 Cobblestone Drive, 
Rocklin, CA  95765",Rocklin,4159,5.76,2.64,17.03,6.71,0.24,0,67.63,386,27.8,702,21.1,15.2,0,0
4160,Parker Whitney Elementary School,,,0,public,K-5,K-6,417,4,7,Rocklin Unified School District,508,600013,60001309069,"5145 Topaz Avenue, 
Rocklin, CA  95677",Rocklin,4160,4.08,2.16,15.11,4.08,0.96,0.72,72.9,386,27.8,702,30.22,22.5,0,0.8
4161,Rocklin Elementary School,,,0,public,K-5,K-6,534,4,8,Rocklin Unified School District,508,600013,60001309070,"5025 Meyers Street, 
Rocklin, CA  95677",Rocklin,4161,11.8,0.94,18.35,4.68,0.37,0,63.86,386,27.8,702,35.77,15.2,10,0.8
4162,Rocklin High School,,,0,public,9-12,12-Sep,1947,4,10,Rocklin Unified School District,508,600013,60001302405,"5301 Victory Lane, 
Rocklin, CA  95765",Rocklin,4162,9.3,1.28,14.64,6.01,0.41,0.56,67.8,419,43.1,887,13.56,9.9,10.3,1.5
4163,Spring View Middle School,,,0,public,6-8,8-Jul,815,4,8,Rocklin Unified School District,508,600013,60001308553,"5040 Fifth Street, 
Rocklin, CA  95677",Rocklin,4163,7.36,1.23,15.95,6.01,0.49,0.37,68.59,419,43.1,887,24.17,14,7.9,5.5
4164,Victory High School,,,0,public,9-12,12-Sep,73,5,3,Rocklin Unified School District,508,600013,60001306176,"3250 Victory Drive, 
Rocklin, CA  95765",Rocklin,4164,1.37,0,16.44,9.59,0,0,72.6,0,43.1,887,38.36,12.5,12.5,2.9
4165,Donner Trail Elementary School,,,0,public,K-5,K-5,64,5,9,Tahoe-Truckee Unified School District,509,638770,63877006512,"52755 Donner Pass Road, 
Kingvale, CA  96161",Kingvale,4165,0,1.56,10.94,3.13,0,0,84.38,0,43.1,887,14.06,0,0,0
4166,Glenshire Elementary School,,,0,public,K-5,K-5,498,4,8,Tahoe-Truckee Unified School District,509,638770,63877004954,"10990 Dorchester Drive, 
Truckee, CA  96161",Truckee,4166,1.2,1.41,11.45,2.81,0,0,83.13,0,43.1,887,11.04,6.3,0,0.4
4167,Kings Beach Elementary School,,,0,public,K-5,K-4,364,5,4,Tahoe-Truckee Unified School District,509,638770,63877006513,"8125 Steelhead, 
Kings Beach, CA  96143",Kings Beach,4167,0.55,0,46.7,1.92,0.82,0,50,0,43.1,887,42.86,0,0,0
4168,North Tahoe High School,,,0,public,9-12,12-Sep,362,4,8,Tahoe-Truckee Unified School District,509,638770,63877006514,"2945 Polaris Road, 
Tahoe City, CA  96145",Tahoe City,4168,0.55,0.28,40.33,2.49,0.55,0,55.8,96,45.8,94,46.13,7.3,0,3.2
4169,North Tahoe School,,,0,public,6-8,8-May,430,4,6,Tahoe-Truckee Unified School District,509,638770,63877006515,"2945 Polaris Road, 
Tahoe City, CA  96145",Tahoe City,4169,0.7,0,44.42,2.33,0.93,0,51.63,96,45.8,94,49.77,8.6,0,1.4
4171,Sierra High (Continuation) School,,,0,public,9-12,12-Sep,47,5,6,Tahoe-Truckee Unified School District,509,638770,63877006517,"11661 Donner Pass Road, 
Truckee, CA  96161",Truckee,4171,0,0,61.7,0,4.26,0,34.04,0,45.8,94,68.09,0,0,0
4173,Tahoe Lake Elementary School,,,0,public,K-5,K-4,275,4,5,Tahoe-Truckee Unified School District,509,638770,63877006519,"740 Timberland Lane, 
Tahoe City, CA  96145",Tahoe City,4173,0.33,0.33,41.25,1.32,0.33,0,56.44,0,45.8,94,49.5,5.5,0,0
4174,Tahoe Truckee High School,,,0,public,9-12,12-Sep,697,3,7,Tahoe-Truckee Unified School District,509,638770,63877006520,"11725 Donner Pass Road, 
Truckee, CA  96161",Truckee,4174,0.57,0.57,33.72,2.15,0.72,0,62.27,148,21.5,134,31.28,11.7,0,4.9
4175,Truckee Elementary School,,,0,public,K-5,K-5,534,4,5,Tahoe-Truckee Unified School District,509,638770,63877006521,"11911 Donner Pass Road, 
Truckee, CA  96161",Truckee,4175,0.19,0.19,57.77,2.08,0,0.38,39.39,148,21.5,134,58.9,8.9,0,0.7
4176,Carlin C. Coppin Elementary School,,,0,public,K-5,K-5,401,4,6,Western Placer Unified School District,510,642140,64214006894,"150 12th Street, 
Lincoln, CA  95648",Lincoln,4176,1.25,0.25,33.17,5.74,0.5,0.25,58.85,148,21.5,134,40.4,16.6,0,0.5
4177,Creekside Oaks Elementary School,,,0,public,K-5,K-5,611,4,6,Western Placer Unified School District,510,642140,64214006896,"2030 First Street, 
Lincoln, CA  95648",Lincoln,4177,5.4,1.64,41.57,3.76,0.82,0.16,46.64,148,21.5,134,42.55,12.3,0,0.3
4178,Glen Edwards Middle School,,,0,public,6-8,8-Jun,858,3,5,Western Placer Unified School District,510,642140,64214009656,"204 L Street, 
Lincoln, CA  95648",Lincoln,4178,4.43,0.82,41.49,3.96,0.93,0.35,48.02,148,21.5,134,47.32,10.3,0,0.3
4179,Lincoln High School,,,0,public,9-12,12-Sep,1731,4,6,Western Placer Unified School District,510,642140,64214006897,"790 J Street, 
Lincoln, CA  95648",Lincoln,4179,5.95,1.39,30.56,3.06,1.16,0.35,57.54,161,17.2,145,31.02,8.4,7.4,1.7
4181,Phoenix High (Continuation) School,,,0,public,9-12,12-Sep,75,4,1,Western Placer Unified School District,510,642140,64214006898,"870 J Street, 
Lincoln, CA  95648",Lincoln,4181,4,1.33,37.33,4,0,0,53.33,0,4.1,145,32,5.9,0,2.9
4183,Sheridan School,,,0,public,K-5,K-5,67,5,3,Western Placer Unified School District,510,642140,64214006899,"4730 H Street, 
Sheridan, CA  95681",Sheridan,4183,0,0,40.3,2.99,0,0,56.72,0,4.1,145,65.67,8.3,0,0
4184,Almanor High (Continuation) School,,,0,public,9-12,12-Sep,368,5,4,Plumas Unified School District,512,631170,63117007824,"612 First Street, 
Chester, CA  96020",Chester,4184,0,0,40.3,2.99,0,0,56.72,0,4.1,145,65.67,0,0,0
4185,Beckwourth (Jim) High (Continuation) School,,,0,public,9-12,12-Sep,10,3,3,Plumas Unified School District,512,631170,63117007825,"155 Sixth Avenue, 
Portola, CA  96122",Portola,4185,0,0,10,30,10,0,50,0,4.1,145,40,0,0,0
4186,C. Roy Carmichael Elementary School,,,0,public,K-5,K-6,364,3,2,Plumas Unified School District,512,631170,63117010272,"895 West Street, 
Portola, CA  96122",Portola,4186,0.55,0,26.65,5.77,0.55,0,66.48,0,4.1,145,65.66,11.8,22.8,0.6
4187,Chester Elementary School,,,0,public,K-5,K-6,214,5,6,Plumas Unified School District,512,631170,63117004818,"158 Aspen Street, 
Chester, CA  96020",Chester,4187,1.4,0,8.41,4.21,0,0,85.98,0,4.1,145,64.02,10.3,17.3,2.6
4188,Chester Junior/Senior High School,,,0,public,6-12,12-Jul,163,4,5,Plumas Unified School District,512,631170,63117004819,"612 First Street, 
Chester, CA  96020",Chester,4188,3.07,0.61,11.04,2.45,3.68,0,79.14,7,18.2,16,41.72,7.2,7.7,1
4190,Indian Valley Elementary School,,,0,public,K-5,K-6,120,3,2,Plumas Unified School District,512,631170,63117004820,"225 Grand Street, 
Greenville, CA  95947",Greenville,4190,1.67,0,9.17,4.17,15.83,0,69.17,7,18.2,16,65.83,21.1,19.3,0
4191,Greenville Junior/Senior High School,,,0,public,6-12,12-Jul,85,3,5,Plumas Unified School District,512,631170,63117004821,"117 Grand Street, 
Greenville, CA  95947",Greenville,4191,2.35,0,15.29,4.71,25.88,0,51.76,0,10,16,52.94,12.5,14.3,0
4196,Portola Junior/Senior High School,,,0,public,6-12,12-Jul,253,4,6,Plumas Unified School District,512,631170,63117004825,"155 Sixth Avenue, 
Portola, CA  96122",Portola,4196,0.4,0,27.67,5.93,1.19,0,64.82,22,23,12,47.83,10.7,0,0
4197,Pioneer/Quincy Elementary School,,,0,public,K-5,K-6,315,3,5,Plumas Unified School District,512,631170,63117004826,"246 Alder Street, 
Quincy, CA  95971",Quincy,4197,1.59,3.81,9.21,6.98,2.54,0,75.87,22,23,12,44.13,11,6.4,0
4198,Quincy Junior/Senior High School,,,0,public,6-12,12-Jul,316,3,6,Plumas Unified School District,512,631170,63117004827,"6 Quincy Junction Road, 
Quincy, CA  95971",Quincy,4198,0.32,2.53,6.65,3.8,1.9,0.32,84.49,31,29.5,68,22.15,11.1,2.9,0
4201,Alvord Continuation High School,,,0,public,9-12,12-Sep,112,5,1,Alvord Unified School District,513,602430,60243000128,"3606 Pierce Street, 
Riverside, CA  92503",Riverside,4201,0,8.04,81.25,0.89,0,0.89,8.93,0,29.5,68,84.82,7.8,0,0
4202,Arizona Middle School,,,0,public,6-8,8-Jun,1071,4,4,Alvord Unified School District,513,602430,60243000129,"11045 Arizona Avenue, 
Riverside, CA  92503",Riverside,4202,4.3,4.2,80.21,0.75,0.19,0.47,9.9,0,29.5,68,79.83,11.5,4.7,0.3
4203,Arlanza Elementary School,,,0,public,K-5,K-5,538,3,3,Alvord Unified School District,513,602430,60243000130,"5891 Rutland Avenue, 
Riverside, CA  92503",Riverside,4203,0.19,0.93,96.65,0.56,0,0.19,1.49,0,29.5,68,97.21,7.6,4.3,0
4204,Collett Elementary School,,,0,public,K-5,PK-5,614,4,3,Alvord Unified School District,513,602430,60243000131,"10850 Collett Avenue, 
Riverside, CA  92505",Riverside,4204,4.4,4.56,80.46,0.33,0.16,1.3,8.79,0,29.5,68,84.85,7.7,0,0.3
4205,Foothill Elementary School,,,0,public,K-5,PK-5,595,4,4,Alvord Unified School District,513,602430,60243000132,"8230 Wells Avenue, 
Riverside, CA  92503",Riverside,4205,2.02,1.51,91.09,0.84,0,0.34,4.2,0,29.5,68,92.94,12.1,0,0
4206,La Granada Elementary School,,,0,public,K-5,PK-5,706,4,3,Alvord Unified School District,513,602430,60243000133,"10346 Keller Avenue, 
Riverside, CA  92505",Riverside,4206,0.14,0.85,93.63,0.14,0.57,0.28,4.39,0,29.5,68,94.33,13.4,15,0
4207,La Sierra High School,,,0,public,9-12,12-Sep,1893,3,4,Alvord Unified School District,513,602430,60243000134,"4145 La Sierra Avenue, 
Riverside, CA  92505",Riverside,4207,6.5,4.38,78.02,1.9,0.42,0.16,8.61,451,18,345,73.27,9.1,1.6,0.2
4208,Loma Vista Middle School,,,0,public,6-8,8-Jun,1056,3,4,Alvord Unified School District,513,602430,60243000135,"11050 Arlington Avenue, 
Riverside, CA  92505",Riverside,4208,2.65,2.27,87.12,0.66,0.09,0,7.2,451,18,345,88.16,11.2,2.6,0.4
4209,S. Christa Mcauliffe Elementary School,,,0,public,K-5,K-5,771,4,4,Alvord Unified School District,513,602430,60243008784,"4100 Golden Avenue, 
Riverside, CA  92505",Riverside,4209,10.25,6.49,63.94,1.04,0.52,0.39,17.38,451,18,345,63.42,6.7,8.3,0.3
4210,Myra Linn Elementary School,,,0,public,K-5,K-5,600,4,4,Alvord Unified School District,513,602430,60243000136,"10435 Branigan Way, 
Riverside, CA  92505",Riverside,4210,2,2.17,89.17,0.17,0.17,1,5.33,451,18,345,89,12.3,0,0
4211,Norte Vista High School,,,0,public,9-12,12-Sep,2243,3,3,Alvord Unified School District,513,602430,60243000137,"6585 Crest Avenue, 
Riverside, CA  92503",Riverside,4211,1.52,1.69,90.77,0.36,0.22,0.31,5.13,209,20.9,58,83.86,9.9,6.5,0.1
4212,Allan Orrenmaa Elementary School,,,0,public,K-5,K-5,597,4,4,Alvord Unified School District,513,602430,60243000138,"3350 Fillmore Street, 
Riverside, CA  92503",Riverside,4212,4.69,3.35,76.55,0.34,0.34,0.17,14.57,209,20.9,58,74.54,6.2,0,0
4213,Promenade Elementary School,,,0,public,K-5,PK-5,662,4,8,Alvord Unified School District,513,602430,60243009299,"550 Hamilton Drive, 
Corona, CA  91719",Corona,4213,11.03,9.21,53.32,5.14,0,0.76,20.54,209,20.9,58,52.11,6.8,0,0.4
4214,Terrace Elementary School,,,0,public,K-5,K-5,637,4,3,Alvord Unified School District,513,602430,60243000139,"6601 Rutland Street, 
Riverside, CA  92503",Riverside,4214,1.26,2.35,91.99,0.94,0,0,3.45,209,20.9,58,90.42,8.4,8,0.3
4215,Twinhill Elementary School,,,0,public,K-5,K-5,541,4,4,Alvord Unified School District,513,602430,60243000140,"11000 Campbell Avenue, 
Riverside, CA  92505",Riverside,4215,1.11,2.4,91.31,0.74,0.18,0.18,4.07,209,20.9,58,93.35,7.3,0,0
4216,Valley View Elementary School,,,0,public,K-5,K-5,413,3,2,Alvord Unified School District,513,602430,60243009514,"11750 Gramercy Place, 
Riverside, CA  92505",Riverside,4216,2.42,1.21,83.29,3.39,0.48,0.24,8.96,209,20.9,58,83.78,4.7,0,0
4217,Wells Middle School,,,0,public,6-8,8-Jun,970,4,2,Alvord Unified School District,513,602430,60243000141,"10000 Wells Avenue, 
Riverside, CA  92503",Riverside,4217,1.44,1.13,92.78,0.62,0.1,0.31,3.61,209,20.9,58,93.71,11.6,5.6,0.2
4218,Banning High School,,,0,public,9-12,12-Sep,1111,3,3,Banning Unified School District,514,603840,60384000347,"100 West Westward, 
Banning, CA  92220",Banning,4218,7.74,10.26,64.9,1.53,3.33,0.09,12.15,54,24.3,79,82.63,8.8,4.9,0.6
4219,Cabazon Elementary School,,,0,public,K-5,K-5,302,5,2,Banning Unified School District,514,603840,60384009305,"50575 Carmen Avenue, 
Cabazon, CA  92230",Cabazon,4219,0.33,6.95,66.23,6.62,2.32,0.99,16.56,54,24.3,79,93.38,6.9,10,1
4220,Central Elementary School,,,0,public,K-5,K-5,754,4,4,Banning Unified School District,514,603840,60384000348,"295 North San Gorgonio Avenue, 
Banning, CA  92220",Banning,4220,2.52,5.04,79.05,2.65,1.46,0,9.28,54,24.3,79,88.06,7.6,3.3,0.3
4222,Hemmerling Elementary School,,,0,public,K-5,K-5,564,5,2,Banning Unified School District,514,603840,60384000350,"1928 West Nicolet Street, 
Banning, CA  92220",Banning,4222,6.91,4.96,63.48,5.14,2.84,0.71,15.96,54,24.3,79,90.43,7.7,0,0.4
4223,Hoffer Elementary School,,,0,public,K-5,K-5,535,3,1,Banning Unified School District,514,603840,60384000351,"1115 East Hoffer Street, 
Banning, CA  92220",Banning,4223,8.79,12.34,62.8,2.99,2.99,0,10.09,54,24.3,79,97.01,8.1,7.1,0
4224,New Horizon High School,,,0,public,9-12,12-Sep,67,4,4,Banning Unified School District,514,603840,60384000352,"1151 West Wilson Street, 
Banning, CA  92220",Banning,4224,0,16.42,59.7,1.49,0,0,22.39,0,24.3,79,70.15,0,11.1,4.7
4225,Nicolet Middle School,,,0,public,6-8,8-Jun,913,4,2,Banning Unified School District,514,603840,60384003574,"101 East Nicolet Street, 
Banning, CA  92220",Banning,4225,6.02,9.97,62.76,2.3,3.61,0.22,15.12,0,24.3,79,91.79,9.1,12.5,0.6
4226,Beaumont Senior High School,,,0,public,9-12,12-Sep,2562,3,6,Beaumont Unified School District,515,604290,60429000386,"39139 Cherry Valley Blvd, 
Beaumont, CA  92223",Beaumont,4226,6.28,5.89,49.57,2.34,1.29,0.43,34.19,235,14.4,143,58.12,9.5,5.9,0.1
4229,Mountain View Middle School,,,0,public,6-8,8-Jun,1025,4,4,Beaumont Unified School District,515,604290,60429000387,"200 Cougar Way, 
Beaumont, CA  92223",Beaumont,4229,6.15,7.51,48,4.2,0.39,0.39,33.37,235,14.4,143,58.93,12.7,5.8,0
