gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
29,Emerson Elementary School,,,0,public,K-5,K-5,305,5,7,Berkeley Unified School District,3,604740,60474000436,"2800 Forest Avenue, 
Berkeley, CA  94705",Berkeley,29,8.52,21.31,17.7,14.43,0,0,38.03,867,33.4,1157,41.31,9.8,0,2.4
30,Jefferson Elementary School,,,0,public,K-5,K-5,422,5,8,Berkeley Unified School District,3,604740,60474000441,"1400 Ada Street, 
Berkeley, CA  94702",Berkeley,30,8.77,11.61,17.54,17.06,0.24,0.24,44.55,867,33.4,1157,31.28,11.4,1.2,1.2
31,Martin Luther King Middle School,,,0,public,6-8,8-Jun,1027,4,8,Berkeley Unified School District,3,604740,60474000443,"1781 Rose Street, 
Berkeley, CA  94703",Berkeley,31,7.89,13.34,17.82,12.76,0.29,0.39,47.52,867,33.4,1157,35.15,12.9,0,1.4
32,Leconte Elementary School,,,0,public,K-5,K-5,347,4,6,Berkeley Unified School District,3,604740,60474000445,"2241 Russell Street, 
Berkeley, CA  94705",Berkeley,32,4.52,15.25,48.02,10.17,0.85,0,21.19,867,33.4,1157,45.2,9.9,5.9,1.2
33,Longfellow Arts And Technology Middle School,,,0,public,6-8,8-Jun,512,4,5,Berkeley Unified School District,3,604740,60474000446,"1500 Derby Street, 
Berkeley, CA  94703",Berkeley,33,5.86,24.02,37.11,10.16,0,0,22.85,867,33.4,1157,50,18.6,3.6,1.5
34,Malcolm X Elementary School,,,0,public,K-5,K-5,550,5,6,Berkeley Unified School District,3,604740,60474000447,"1731 Prince Street, 
Berkeley, CA  94703",Berkeley,34,7.01,16.29,15.59,16.29,0,0,44.83,867,33.4,1157,31,10.8,4.2,0.9
35,John Muir Elementary School,,,0,public,K-5,K-5,292,5,6,Berkeley Unified School District,3,604740,60474008119,"2955 Claremont Avenue, 
Berkeley, CA  94705",Berkeley,35,10.27,22.26,17.81,14.04,0,0,35.62,867,33.4,1157,44.86,11.6,0,0.8
36,Oxford Elementary School,,,0,public,K-5,K-5,302,4,6,Berkeley Unified School District,3,604740,60474000448,"1130 Oxford Street, 
Berkeley, CA  94707",Berkeley,36,4.97,20.2,16.89,22.19,0.66,0.99,34.11,867,33.4,1157,41.06,11.6,5.5,2.3
37,Thousand Oaks Elementary School,,,0,public,K-5,K-5,442,5,5,Berkeley Unified School District,3,604740,60474000450,"840 Colusa Avenue, 
Berkeley, CA  94707",Berkeley,37,5.66,11.09,37.56,11.99,0,0,33.71,867,33.4,1157,41.63,9.3,0,0.9
38,Washington Elementary School,,,0,public,K-5,K-5,466,4,7,Berkeley Unified School District,3,604740,60474000452,"2300 Martin Luther King Junior Way, 
Berkeley, CA  94704",Berkeley,38,9.01,14.59,13.3,12.66,0,0.21,50.21,867,33.4,1157,30.26,11,11.2,0.9
