Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504,gsId
64.2,2.22,10.8,6.07,0,0.44,16.27,443,46.3,1147,12.43,11.1,7.7,0.4,71
36.98,7.23,41.94,2.27,0.62,1.45,9.5,443,46.3,1147,51.86,6.5,16.7,0,72
43.81,4.58,24.25,4.16,0.52,0.52,22.16,443,46.3,1147,32.99,4.5,5.3,2.4,73
90.61,0.25,3.17,1.65,0,0,4.31,443,46.3,1147,6.73,5.3,0,0.5,74
36.18,4.93,23.36,5.26,0.33,0.99,28.95,13,1.9,1147,16.45,12.9,9.8,0,75
52.41,5.17,23.79,3.97,0,0.86,13.79,13,1.9,1147,38.28,6.5,5.3,4.8,76
90.61,1.08,3.03,0.88,0.1,0.59,3.72,13,1.9,1147,4.79,3.8,0,0.2,77
45.83,2.88,29.89,4.1,0,0.61,16.69,13,1.9,1147,37.63,7.2,0,1.5,78
89.02,0.49,2.56,2.2,0.24,0.24,5.24,13,1.9,1147,4.27,3.3,0,0.3,79
60.33,1.64,18.61,3.27,0.2,0.41,15.54,13,1.9,1147,29.45,9.5,4.9,0.9,80
30.3,1.48,54.03,2.97,0.64,1.06,9.53,13,1.9,1147,58.47,12.4,4.5,0.5,81
69.57,1.99,11.41,2.17,0.36,0.54,13.95,13,1.9,1147,25.54,10.4,0,0.8,82
92.23,0.29,1.18,1.47,0,0.1,4.72,13,1.9,1147,3.74,2.2,2.5,1.3,83
73.6,1.75,10.7,2.63,0.44,0.26,10.61,13,1.9,1147,15.7,6,7.4,1.6,84
69.02,1.82,10.92,1.6,0.44,0.67,15.53,759,38,1063,15.98,5.6,2.3,2.8,85
33.98,5.07,33.19,2,0.43,1.43,23.91,246,21.6,152,43.04,9.6,5.1,1.4,86
89.19,0.49,2.95,1.87,0.29,0,5.21,246,21.6,152,3.54,2.5,0,0,87
59.73,2.88,22.5,2.71,0.17,0.51,11.51,246,21.6,152,29.27,4.3,3.7,0.7,89
51.54,1.79,17.4,4.88,0.65,0.81,22.93,246,21.6,152,15.61,12.3,0,0.9,91
53.94,2.18,22.61,3.18,0.67,1.01,16.42,246,21.6,152,24.96,9.2,0,0.7,92
92.28,0.8,2.73,1.61,0,0.16,2.41,246,21.6,152,2.57,3.5,0,1.1,93
91.78,0.48,1.59,0.48,0,0.1,5.56,768,64,2232,4.06,2.7,4.9,2.1,94
86.87,1.04,4.18,1.49,0,0,6.42,768,64,2232,7.76,5.3,0,0.6,95
48.36,1.89,14.11,8.43,0.17,0,27.02,768,64,2232,12.56,5.1,0,1.2,96
62.36,3.75,18.47,4.17,0.42,0.56,10.28,768,64,2232,22.08,9.6,3.6,0.3,97
73.74,1.23,10.06,3.02,0.22,0.45,11.28,768,64,2232,9.72,3.4,0,0.5,98
