Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,gsID,idea,percentTeachersInFirstSecondYear,plan504
12.5,25.0,32.14,3.57,0.0,0.0,26.79,2.0,,,23.21,60.0,19.5,0.0,14.9
22.11,7.22,20.16,9.28,0.11,0.11,41.01,2.0,,,17.75,61.0,9.8,0.0,3.6
12.64,60.34,17.82,1.72,0.0,1.15,6.32,0.0,8.6,3.0,71.26,63.0,9.6,13.5,1.5
11.64,50.76,20.99,1.72,0.0,0.76,14.12,0.0,8.6,3.0,75.0,65.0,8.4,0.0,0.9
65.36,4.68,10.89,2.2,0.33,0.76,15.77,443.0,46.3,1147.0,21.83,66.0,6.7,4.9,1.3
82.1,1.21,4.65,4.75,0.0,0.1,7.18,443.0,46.3,1147.0,7.58,67.0,3.3,0.0,0.8
53.39,1.98,21.49,6.61,0.66,0.66,15.21,443.0,46.3,1147.0,26.12,68.0,11.3,0.0,1.5
26.75,1.32,53.73,4.61,1.32,1.1,11.18,443.0,46.3,1147.0,51.1,69.0,8.1,3.4,1.3
50.27,3.32,29.05,3.71,0.53,0.8,12.33,443.0,46.3,1147.0,45.89,70.0,4.7,6.7,2.8
64.2,2.22,10.8,6.07,0.0,0.44,16.27,443.0,46.3,1147.0,12.43,71.0,11.1,7.7,0.4
36.98,7.23,41.94,2.27,0.62,1.45,9.5,443.0,46.3,1147.0,51.86,72.0,6.5,16.7,0.0
43.81,4.58,24.25,4.16,0.52,0.52,22.16,443.0,46.3,1147.0,32.99,73.0,4.5,5.3,2.4
90.61,0.25,3.17,1.65,0.0,0.0,4.31,443.0,46.3,1147.0,6.73,74.0,5.3,0.0,0.5
36.18,4.93,23.36,5.26,0.33,0.99,28.95,13.0,1.9,1147.0,16.45,75.0,12.9,9.8,0.0
52.41,5.17,23.79,3.97,0.0,0.86,13.79,13.0,1.9,1147.0,38.28,76.0,6.5,5.3,4.8
90.61,1.08,3.03,0.88,0.1,0.59,3.72,13.0,1.9,1147.0,4.79,77.0,3.8,0.0,0.2
45.83,2.88,29.89,4.1,0.0,0.61,16.69,13.0,1.9,1147.0,37.63,78.0,7.2,0.0,1.5
89.02,0.49,2.56,2.2,0.24,0.24,5.24,13.0,1.9,1147.0,4.27,79.0,3.3,0.0,0.3
60.33,1.64,18.61,3.27,0.2,0.41,15.54,13.0,1.9,1147.0,29.45,80.0,9.5,4.9,0.9
30.3,1.48,54.03,2.97,0.64,1.06,9.53,13.0,1.9,1147.0,58.47,81.0,12.4,4.5,0.5
69.57,1.99,11.41,2.17,0.36,0.54,13.95,13.0,1.9,1147.0,25.54,82.0,10.4,0.0,0.8
92.23,0.29,1.18,1.47,0.0,0.1,4.72,13.0,1.9,1147.0,3.74,83.0,2.2,2.5,1.3
73.6,1.75,10.7,2.63,0.44,0.26,10.61,13.0,1.9,1147.0,15.7,84.0,6.0,7.4,1.6
69.02,1.82,10.92,1.6,0.44,0.67,15.53,759.0,38.0,1063.0,15.98,85.0,5.6,2.3,2.8
33.98,5.07,33.19,2.0,0.43,1.43,23.91,246.0,21.6,152.0,43.04,86.0,9.6,5.1,1.4
89.19,0.49,2.95,1.87,0.29,0.0,5.21,246.0,21.6,152.0,3.54,87.0,2.5,0.0,0.0
59.73,2.88,22.5,2.71,0.17,0.51,11.51,246.0,21.6,152.0,29.27,89.0,4.3,3.7,0.7
51.54,1.79,17.4,4.88,0.65,0.81,22.93,246.0,21.6,152.0,15.61,91.0,12.3,0.0,0.9
53.94,2.18,22.61,3.18,0.67,1.01,16.42,246.0,21.6,152.0,24.96,92.0,9.2,0.0,0.7
92.28,0.8,2.73,1.61,0.0,0.16,2.41,246.0,21.6,152.0,2.57,93.0,3.5,0.0,1.1
91.78,0.48,1.59,0.48,0.0,0.1,5.56,768.0,64.0,2232.0,4.06,94.0,2.7,4.9,2.1
86.87,1.04,4.18,1.49,0.0,0.0,6.42,768.0,64.0,2232.0,7.76,95.0,5.3,0.0,0.6
48.36,1.89,14.11,8.43,0.17,0.0,27.02,768.0,64.0,2232.0,12.56,96.0,5.1,0.0,1.2
62.36,3.75,18.47,4.17,0.42,0.56,10.28,768.0,64.0,2232.0,22.08,97.0,9.6,3.6,0.3
73.74,1.23,10.06,3.02,0.22,0.45,11.28,768.0,64.0,2232.0,9.72,98.0,3.4,0.0,0.5
56.77,4.92,18.15,6.31,0.62,1.08,12.15,768.0,64.0,2232.0,28.77,99.0,6.5,0.0,0.7
14.71,5.88,56.37,3.43,0.49,0.98,18.14,0.0,64.0,2232.0,60.78,100.0,6.4,5.7,2.6
67.85,3.07,10.27,4.89,0.33,0.25,13.34,0.0,64.0,2232.0,21.54,101.0,4.1,0.0,2.8
37.57,5.19,25.76,5.01,0.36,0.89,25.22,0.0,64.0,2232.0,29.7,102.0,7.9,0.0,1.9
32.37,4.94,39.09,3.02,0.69,1.37,18.52,0.0,64.0,2232.0,50.48,103.0,7.2,3.0,1.4
87.47,0.45,2.71,2.48,0.34,0.0,6.55,0.0,64.0,2232.0,4.74,104.0,3.2,0.0,2.1
65.33,2.48,11.88,6.37,0.32,1.19,12.42,0.0,64.0,2232.0,18.36,105.0,6.1,5.6,1.2
42.26,5.16,21.9,3.07,0.27,0.82,26.51,273.0,23.8,441.0,29.2,106.0,6.3,6.8,3.5
85.8,0.8,3.52,2.27,0.0,0.91,6.7,273.0,23.8,441.0,6.02,107.0,4.1,0.0,2.1
13.53,8.27,66.67,2.51,1.0,5.26,2.76,273.0,23.8,441.0,82.46,108.0,7.1,5.9,0.0
3.11,15.03,64.25,2.07,0.52,3.63,11.4,45.0,23.8,441.0,79.27,109.0,15.4,16.7,0.0
11.39,20.41,53.01,3.96,0.47,2.22,8.54,45.0,23.8,441.0,68.83,110.0,8.5,16.7,1.1
7.05,8.13,77.44,2.06,0.43,1.3,3.58,45.0,23.8,441.0,79.18,111.0,4.6,3.1,0.3
15.2,8.46,67.88,0.52,0.35,3.97,3.63,45.0,23.8,441.0,85.49,112.0,7.3,16.1,0.3
2.97,5.81,85.29,2.06,0.13,1.29,2.45,45.0,23.8,441.0,88.77,113.0,3.7,2.4,0.0
9.37,18.09,51.7,6.3,0.0,3.88,10.66,,,,62.84,114.0,8.8,15.0,0.8
38.29,11.61,39.51,4.07,0.2,4.28,2.04,,,,65.99,115.0,7.6,3.9,0.4
23.32,9.72,50.35,8.66,0.18,4.06,3.71,,,,63.43,116.0,9.7,0.0,0.3
